Order_ID,SKU,Product_Name,Warehouse_ID,Warehouse_Name,Warehouse_City,Order_Created_At,Order_Quantity,Order_Priority,Inventory_Available,Quantity_Allocated,Quantity_Picked,Damaged_Items,Packing_Status,Picking_Start,Picking_End,Packing_Start,Packing_End,Processing_Time_Minutes,Dispatch_Status,Carrier,Dispatch_At,Estimated_Delivery,Total_Inventory_On_Hand,Total_Reserved,Total_Available,Avg_Daily_Demand_Units,Total_120_Day_Demand
ORD0025,SKU005,Webcam HD,WH004,Chennai South,Chennai,2026-03-06 02:00,8,Critical,No,5,5,2,Packed,2026-03-06 06:00,2026-03-06 06:09,2026-03-06 06:33,2026-03-06 06:42,42,Dispatched,Delhivery,2026-03-07 17:00,2026-03-09 17:00,486,86,400,15.32,1839
ORD0026,SKU003,USB-C Hub,WH004,Chennai South,Chennai,2026-06-21 03:00,10,Low,Yes,10,10,0,Packed,2026-06-21 08:00,2026-06-21 08:14,2026-06-21 08:37,2026-06-21 08:42,42,Dispatched,Delhivery,2026-06-22 07:00,2026-06-25 07:00,428,80,348,16.44,1973
ORD0027,SKU010,External SSD 1TB,WH004,Chennai South,Chennai,2026-04-12 22:00,4,High,No,0,0,0,Pending,2026-04-13 00:00,2026-04-13 00:44,2026-04-13 01:14,2026-04-13 01:20,80,Pending,DTDC,,,651,64,587,15.0,1800
ORD0028,SKU006,Bluetooth Headphones,WH005,Bengaluru Tech,Bengaluru,2026-04-20 21:00,6,High,Yes,6,6,1,Packed,2026-04-21 00:00,2026-04-21 00:35,2026-04-21 00:45,2026-04-21 01:13,73,Dispatched,DTDC,2026-04-23 15:00,2026-04-28 15:00,561,87,474,14.86,1783
ORD0029,SKU011,USB Keyboard,WH003,Visakhapatnam Hub,Visakhapatnam,2026-06-07 17:00,8,Medium,Yes,8,8,0,Packed,2026-06-08 01:00,2026-06-08 01:44,2026-06-08 02:08,2026-06-08 02:34,94,Dispatched,Ecom Express,2026-06-09 08:00,2026-06-13 08:00,687,84,603,15.16,1819
ORD0030,SKU006,Bluetooth Headphones,WH001,Hyderabad Central,Hyderabad,2026-05-07 10:00,3,Medium,Yes,3,3,2,Packed,2026-05-07 14:00,2026-05-07 14:13,2026-05-07 14:25,2026-05-07 14:53,53,Dispatched,DTDC,2026-05-07 19:00,2026-05-11 19:00,561,87,474,14.86,1783
ORD0031,SKU008,Desk Lamp,WH005,Bengaluru Tech,Bengaluru,2026-07-14 07:00,12,Medium,Yes,12,12,1,Packed,2026-07-14 13:00,2026-07-14 13:38,2026-07-14 14:00,2026-07-14 14:21,81,Dispatched,Blue Dart,2026-07-16 06:00,2026-07-19 06:00,602,65,537,15.39,1847
ORD0032,SKU007,Power Bank 20000mAh,WH005,Bengaluru Tech,Bengaluru,2026-03-26 11:00,12,Medium,Yes,12,12,0,Packed,2026-03-26 15:00,2026-03-26 15:21,2026-03-26 15:49,2026-03-26 16:09,69,Dispatched,XpressBees,2026-03-27 18:00,2026-03-30 18:00,572,93,479,15.69,1883
ORD0033,SKU012,Wireless Charger,WH005,Bengaluru Tech,Bengaluru,2026-07-14 16:00,10,Medium,No,3,3,1,Packed,2026-07-14 21:00,2026-07-14 21:10,2026-07-14 21:16,2026-07-14 21:38,38,Dispatched,XpressBees,2026-07-15 16:00,2026-07-18 16:00,434,74,360,14.36,1723
ORD0034,SKU012,Wireless Charger,WH002,Vijayawada Hub,Vijayawada,2026-06-13 15:00,2,Low,Yes,2,2,0,Packed,2026-06-13 23:00,2026-06-13 23:15,2026-06-13 23:22,2026-06-13 23:39,39,Pending,DTDC,,,434,74,360,14.36,1723
ORD0035,SKU008,Desk Lamp,WH001,Hyderabad Central,Hyderabad,2026-05-28 20:00,11,High,No,9,1,0,Partial,2026-05-29 03:00,2026-05-29 03:46,2026-05-29 04:10,2026-05-29 04:40,100,Pending,Delhivery,,,602,65,537,15.39,1847
ORD0036,SKU010,External SSD 1TB,WH002,Vijayawada Hub,Vijayawada,2026-07-18 16:00,7,Medium,Yes,7,7,1,Packed,2026-07-18 18:00,2026-07-18 18:21,2026-07-18 18:46,2026-07-18 18:57,57,Dispatched,XpressBees,2026-07-19 07:00,2026-07-22 07:00,651,64,587,15.0,1800
ORD0037,SKU011,USB Keyboard,WH001,Hyderabad Central,Hyderabad,2026-02-10 07:00,3,Medium,No,0,0,0,Pending,2026-02-10 15:00,2026-02-10 15:26,2026-02-10 15:32,2026-02-10 15:44,44,Pending,XpressBees,,,687,84,603,15.16,1819
ORD0038,SKU005,Webcam HD,WH003,Visakhapatnam Hub,Visakhapatnam,2026-06-29 14:00,2,Medium,Yes,2,2,2,Packed,2026-06-29 16:00,2026-06-29 16:42,2026-06-29 16:54,2026-06-29 17:19,79,Dispatched,Blue Dart,2026-07-02 04:00,2026-07-04 04:00,486,86,400,15.32,1839
ORD0039,SKU015,Tablet Stand,WH003,Visakhapatnam Hub,Visakhapatnam,2026-07-31 04:00,2,High,Yes,2,2,1,Packed,2026-07-31 11:00,2026-07-31 11:25,2026-07-31 11:46,2026-07-31 12:08,68,Dispatched,Ecom Express,2026-08-02 02:00,2026-08-06 02:00,422,26,396,14.98,1798
ORD0040,SKU008,Desk Lamp,WH001,Hyderabad Central,Hyderabad,2026-06-03 01:00,7,Low,Yes,7,7,2,Packed,2026-06-03 06:00,2026-06-03 06:44,2026-06-03 06:50,2026-06-03 07:19,79,Dispatched,XpressBees,2026-06-03 11:00,2026-06-05 11:00,602,65,537,15.39,1847
ORD0041,SKU008,Desk Lamp,WH005,Bengaluru Tech,Bengaluru,2026-06-16 14:00,5,High,Yes,5,5,0,Packed,2026-06-16 20:00,2026-06-16 20:50,2026-06-16 20:58,2026-06-16 21:30,90,Dispatched,Ecom Express,2026-06-18 16:00,2026-06-20 16:00,602,65,537,15.39,1847
ORD0042,SKU006,Bluetooth Headphones,WH004,Chennai South,Chennai,2026-06-27 15:00,5,Medium,Yes,5,5,1,Packed,2026-06-27 17:00,2026-06-27 17:33,2026-06-27 17:54,2026-06-27 18:25,85,Dispatched,DTDC,2026-06-29 16:00,2026-06-30 16:00,561,87,474,14.86,1783
ORD0043,SKU011,USB Keyboard,WH005,Bengaluru Tech,Bengaluru,2026-04-29 13:00,1,High,Yes,1,1,1,Packed,2026-04-29 16:00,2026-04-29 16:26,2026-04-29 16:45,2026-04-29 17:18,78,Dispatched,Blue Dart,2026-05-01 07:00,2026-05-05 07:00,687,84,603,15.16,1819
ORD0044,SKU002,Mechanical Keyboard,WH001,Hyderabad Central,Hyderabad,2026-06-11 19:00,4,Low,Yes,4,4,0,Packed,2026-06-11 21:00,2026-06-11 21:49,2026-06-11 21:58,2026-06-11 22:18,78,Dispatched,Delhivery,2026-06-14 14:00,2026-06-17 14:00,386,63,323,15.01,1801
ORD0045,SKU009,Monitor 24 Inch,WH003,Visakhapatnam Hub,Visakhapatnam,2026-04-17 15:00,8,High,No,6,6,2,Packed,2026-04-17 22:00,2026-04-17 22:29,2026-04-17 22:59,2026-04-17 23:20,80,Dispatched,Delhivery,2026-04-19 10:00,2026-04-22 10:00,486,115,371,15.62,1874
ORD0046,SKU014,Laptop Backpack,WH001,Hyderabad Central,Hyderabad,2026-03-14 23:00,5,Low,Yes,5,5,1,Packed,2026-03-15 07:00,2026-03-15 07:28,2026-03-15 07:39,2026-03-15 08:06,66,Dispatched,XpressBees,2026-03-17 07:00,2026-03-19 07:00,388,104,284,16.26,1951
ORD0047,SKU010,External SSD 1TB,WH004,Chennai South,Chennai,2026-03-01 13:00,1,Medium,Yes,1,1,1,Packed,2026-03-01 21:00,2026-03-01 21:10,2026-03-01 21:19,2026-03-01 21:40,40,Pending,Blue Dart,,,651,64,587,15.0,1800
ORD0048,SKU010,External SSD 1TB,WH003,Visakhapatnam Hub,Visakhapatnam,2026-08-11 03:00,8,High,Yes,8,8,2,Packed,2026-08-11 11:00,2026-08-11 11:24,2026-08-11 11:39,2026-08-11 12:03,63,Pending,Delhivery,,,651,64,587,15.0,1800
ORD0049,SKU012,Wireless Charger,WH004,Chennai South,Chennai,2026-06-16 02:00,6,Low,Yes,6,5,2,Partial,2026-06-16 03:00,2026-06-16 03:47,2026-06-16 03:54,2026-06-16 04:06,66,Pending,Ecom Express,,,434,74,360,14.36,1723
ORD0050,SKU011,USB Keyboard,WH003,Visakhapatnam Hub,Visakhapatnam,2026-02-28 23:00,2,Medium,No,0,0,0,Pending,2026-03-01 00:00,2026-03-01 00:10,2026-03-01 00:25,2026-03-01 00:55,55,Pending,DTDC,,,687,84,603,15.16,1819
ORD0051,SKU001,Wireless Mouse,WH003,Visakhapatnam Hub,Visakhapatnam,2026-04-02 11:00,7,High,Yes,7,7,0,Packed,2026-04-02 15:00,2026-04-02 15:39,2026-04-02 16:02,2026-04-02 16:11,71,Dispatched,XpressBees,2026-04-04 19:00,2026-04-06 19:00,670,81,589,15.01,1801
ORD0052,SKU008,Desk Lamp,WH003,Visakhapatnam Hub,Visakhapatnam,2026-04-28 08:00,11,Critical,Yes,11,10,2,Partial,2026-04-28 10:00,2026-04-28 10:36,2026-04-28 10:52,2026-04-28 11:15,75,Pending,Blue Dart,,,602,65,537,15.39,1847
ORD0053,SKU005,Webcam HD,WH004,Chennai South,Chennai,2026-06-26 08:00,8,Low,No,6,6,1,Packed,2026-06-26 13:00,2026-06-26 13:09,2026-06-26 13:35,2026-06-26 13:52,52,Dispatched,XpressBees,2026-06-28 05:00,2026-07-01 05:00,486,86,400,15.32,1839
ORD0054,SKU001,Wireless Mouse,WH005,Bengaluru Tech,Bengaluru,2026-08-10 21:00,12,Low,Yes,12,12,0,Packed,2026-08-11 01:00,2026-08-11 01:47,2026-08-11 02:00,2026-08-11 02:26,86,Dispatched,DTDC,2026-08-12 09:00,2026-08-14 09:00,670,81,589,15.01,1801
ORD0055,SKU011,USB Keyboard,WH001,Hyderabad Central,Hyderabad,2026-06-10 20:00,1,Medium,Yes,1,1,0,Packed,2026-06-11 03:00,2026-06-11 03:19,2026-06-11 03:30,2026-06-11 03:39,39,Dispatched,DTDC,2026-06-12 21:00,2026-06-17 21:00,687,84,603,15.16,1819
ORD0056,SKU015,Tablet Stand,WH003,Visakhapatnam Hub,Visakhapatnam,2026-05-16 16:00,5,Low,Yes,5,3,1,Partial,2026-05-16 18:00,2026-05-16 18:37,2026-05-16 18:44,2026-05-16 18:53,53,Pending,DTDC,,,422,26,396,14.98,1798
ORD0057,SKU013,HDMI Cable,WH002,Vijayawada Hub,Vijayawada,2026-08-09 21:00,12,Medium,Yes,12,12,0,Packed,2026-08-09 23:00,2026-08-09 23:37,2026-08-09 23:53,2026-08-10 00:19,79,Dispatched,Delhivery,2026-08-11 14:00,2026-08-14 14:00,595,83,512,15.44,1853
ORD0058,SKU010,External SSD 1TB,WH004,Chennai South,Chennai,2026-07-30 20:00,6,High,No,3,3,2,Packed,2026-07-30 22:00,2026-07-30 22:48,2026-07-30 23:07,2026-07-30 23:41,101,Dispatched,XpressBees,2026-08-01 08:00,2026-08-04 08:00,651,64,587,15.0,1800
ORD0059,SKU011,USB Keyboard,WH004,Chennai South,Chennai,2026-01-30 04:00,1,Low,Yes,1,0,0,Pending,2026-01-30 08:00,2026-01-30 08:42,2026-01-30 08:51,2026-01-30 09:08,68,Pending,Delhivery,,,687,84,603,15.16,1819
ORD0060,SKU008,Desk Lamp,WH003,Visakhapatnam Hub,Visakhapatnam,2026-06-21 23:00,12,Low,Yes,12,12,1,Packed,2026-06-22 04:00,2026-06-22 04:10,2026-06-22 04:37,2026-06-22 04:53,53,Dispatched,Ecom Express,2026-06-24 11:00,2026-06-26 11:00,602,65,537,15.39,1847
ORD0061,SKU008,Desk Lamp,WH004,Chennai South,Chennai,2026-03-02 11:00,2,Low,Yes,2,2,1,Partial,2026-03-02 18:00,2026-03-02 18:25,2026-03-02 18:36,2026-03-02 19:11,71,Pending,Delhivery,,,602,65,537,15.39,1847
ORD0062,SKU002,Mechanical Keyboard,WH004,Chennai South,Chennai,2026-01-24 21:00,4,Medium,No,0,0,0,Pending,2026-01-25 00:00,2026-01-25 00:44,2026-01-25 00:55,2026-01-25 01:02,62,Pending,Blue Dart,,,386,63,323,15.01,1801
ORD0063,SKU014,Laptop Backpack,WH005,Bengaluru Tech,Bengaluru,2026-02-23 18:00,4,Low,No,2,2,2,Packed,2026-02-23 23:00,2026-02-23 23:19,2026-02-23 23:27,2026-02-23 23:53,53,Dispatched,Blue Dart,2026-02-24 18:00,2026-02-25 18:00,388,104,284,16.26,1951
ORD0064,SKU003,USB-C Hub,WH001,Hyderabad Central,Hyderabad,2026-04-02 07:00,10,Medium,No,4,4,2,Packed,2026-04-02 15:00,2026-04-02 15:31,2026-04-02 15:52,2026-04-02 16:15,75,Dispatched,Delhivery,2026-04-05 03:00,2026-04-06 03:00,428,80,348,16.44,1973
ORD0065,SKU008,Desk Lamp,WH005,Bengaluru Tech,Bengaluru,2026-02-26 19:00,1,Low,Yes,1,1,0,Partial,2026-02-27 02:00,2026-02-27 02:35,2026-02-27 03:01,2026-02-27 03:09,69,Pending,Ecom Express,,,602,65,537,15.39,1847
ORD0066,SKU008,Desk Lamp,WH004,Chennai South,Chennai,2026-01-19 02:00,6,Medium,No,1,1,1,Packed,2026-01-19 10:00,2026-01-19 10:40,2026-01-19 11:04,2026-01-19 11:22,82,Dispatched,XpressBees,2026-01-20 23:00,2026-01-21 23:00,602,65,537,15.39,1847
ORD0067,SKU013,HDMI Cable,WH001,Hyderabad Central,Hyderabad,2026-08-07 20:00,11,Low,No,6,6,1,Packed,2026-08-07 22:00,2026-08-07 22:28,2026-08-07 22:46,2026-08-07 23:01,61,Dispatched,Ecom Express,2026-08-10 09:00,2026-08-13 09:00,595,83,512,15.44,1853
ORD0068,SKU006,Bluetooth Headphones,WH002,Vijayawada Hub,Vijayawada,2026-06-25 15:00,2,High,No,0,0,0,Pending,2026-06-25 18:00,2026-06-25 18:43,2026-06-25 18:49,2026-06-25 19:12,72,Pending,DTDC,,,561,87,474,14.86,1783
ORD0069,SKU009,Monitor 24 Inch,WH005,Bengaluru Tech,Bengaluru,2026-03-26 21:00,2,Medium,Yes,2,2,1,Packed,2026-03-27 01:00,2026-03-27 01:17,2026-03-27 01:43,2026-03-27 02:03,63,Dispatched,DTDC,2026-03-27 18:00,2026-03-29 18:00,486,115,371,15.62,1874
ORD0070,SKU014,Laptop Backpack,WH001,Hyderabad Central,Hyderabad,2026-03-31 17:00,6,High,Yes,6,6,2,Packed,2026-03-31 18:00,2026-03-31 18:46,2026-03-31 19:12,2026-03-31 19:43,103,Pending,XpressBees,,,388,104,284,16.26,1951
ORD0071,SKU012,Wireless Charger,WH003,Visakhapatnam Hub,Visakhapatnam,2026-01-08 05:00,5,Low,Yes,5,2,0,Partial,2026-01-08 08:00,2026-01-08 08:44,2026-01-08 09:10,2026-01-08 09:27,87,Pending,Blue Dart,,,434,74,360,14.36,1723
ORD0072,SKU002,Mechanical Keyboard,WH002,Vijayawada Hub,Vijayawada,2026-07-09 20:00,1,High,No,0,0,0,Pending,2026-07-09 23:00,2026-07-09 23:31,2026-07-09 23:45,2026-07-10 00:13,73,Pending,DTDC,,,386,63,323,15.01,1801
ORD0073,SKU006,Bluetooth Headphones,WH005,Bengaluru Tech,Bengaluru,2026-06-02 02:00,1,High,No,0,0,0,Pending,2026-06-02 10:00,2026-06-02 10:46,2026-06-02 11:05,2026-06-02 11:23,83,Pending,Ecom Express,,,561,87,474,14.86,1783
ORD0074,SKU005,Webcam HD,WH002,Vijayawada Hub,Vijayawada,2026-07-13 16:00,2,Medium,No,1,1,1,Packed,2026-07-13 17:00,2026-07-13 17:21,2026-07-13 17:35,2026-07-13 18:10,70,Dispatched,Ecom Express,2026-07-14 07:00,2026-07-16 07:00,486,86,400,15.32,1839
ORD0075,SKU013,HDMI Cable,WH002,Vijayawada Hub,Vijayawada,2026-07-15 08:00,5,Medium,No,3,3,1,Packed,2026-07-15 14:00,2026-07-15 14:12,2026-07-15 14:29,2026-07-15 15:01,61,Dispatched,Blue Dart,2026-07-18 08:00,2026-07-19 08:00,595,83,512,15.44,1853
ORD0076,SKU007,Power Bank 20000mAh,WH001,Hyderabad Central,Hyderabad,2026-04-28 02:00,6,Medium,Yes,6,6,0,Packed,2026-04-28 10:00,2026-04-28 10:52,2026-04-28 11:08,2026-04-28 11:15,75,Dispatched,DTDC,2026-04-29 07:00,2026-05-03 07:00,572,93,479,15.69,1883
ORD0077,SKU014,Laptop Backpack,WH001,Hyderabad Central,Hyderabad,2026-03-04 13:00,10,Medium,No,6,6,0,Packed,2026-03-04 15:00,2026-03-04 15:41,2026-03-04 16:02,2026-03-04 16:13,73,Dispatched,Blue Dart,2026-03-05 06:00,2026-03-08 06:00,388,104,284,16.26,1951
ORD0078,SKU006,Bluetooth Headphones,WH002,Vijayawada Hub,Vijayawada,2026-03-02 03:00,3,Medium,No,2,2,0,Packed,2026-03-02 11:00,2026-03-02 11:51,2026-03-02 12:14,2026-03-02 12:39,99,Dispatched,Ecom Express,2026-03-04 22:00,2026-03-09 22:00,561,87,474,14.86,1783
ORD0079,SKU006,Bluetooth Headphones,WH003,Visakhapatnam Hub,Visakhapatnam,2026-02-08 14:00,2,Medium,Yes,2,2,1,Packed,2026-02-08 22:00,2026-02-08 22:10,2026-02-08 22:16,2026-02-08 22:32,32,Dispatched,DTDC,2026-02-11 09:00,2026-02-14 09:00,561,87,474,14.86,1783
ORD0080,SKU002,Mechanical Keyboard,WH001,Hyderabad Central,Hyderabad,2026-06-07 19:00,9,Medium,No,7,3,1,Partial,2026-06-08 03:00,2026-06-08 03:40,2026-06-08 03:49,2026-06-08 04:24,84,Pending,XpressBees,,,386,63,323,15.01,1801
ORD0081,SKU001,Wireless Mouse,WH004,Chennai South,Chennai,2026-01-27 10:00,12,High,No,0,0,0,Pending,2026-01-27 18:00,2026-01-27 18:41,2026-01-27 19:02,2026-01-27 19:26,86,Pending,Ecom Express,,,670,81,589,15.01,1801
ORD0082,SKU003,USB-C Hub,WH003,Visakhapatnam Hub,Visakhapatnam,2026-04-06 09:00,7,Medium,Yes,7,7,2,Packed,2026-04-06 11:00,2026-04-06 11:43,2026-04-06 12:09,2026-04-06 12:26,86,Dispatched,Delhivery,2026-04-08 11:00,2026-04-11 11:00,428,80,348,16.44,1973
ORD0083,SKU005,Webcam HD,WH005,Bengaluru Tech,Bengaluru,2026-08-12 04:00,6,High,No,2,2,2,Packed,2026-08-12 09:00,2026-08-12 09:43,2026-08-12 10:00,2026-08-12 10:25,85,Dispatched,XpressBees,2026-08-12 22:00,2026-08-15 22:00,486,86,400,15.32,1839
ORD0084,SKU014,Laptop Backpack,WH002,Vijayawada Hub,Vijayawada,2026-06-21 22:00,12,Low,No,10,10,0,Packed,2026-06-22 04:00,2026-06-22 04:39,2026-06-22 04:50,2026-06-22 05:02,62,Dispatched,Blue Dart,2026-06-23 09:00,2026-06-25 09:00,388,104,284,16.26,1951
ORD0085,SKU003,USB-C Hub,WH001,Hyderabad Central,Hyderabad,2026-03-17 03:00,9,Low,No,5,5,2,Packed,2026-03-17 06:00,2026-03-17 06:54,2026-03-17 07:13,2026-03-17 07:19,79,Dispatched,Blue Dart,2026-03-18 10:00,2026-03-22 10:00,428,80,348,16.44,1973
ORD0086,SKU006,Bluetooth Headphones,WH002,Vijayawada Hub,Vijayawada,2026-04-24 19:00,5,Low,Yes,5,5,1,Packed,2026-04-25 01:00,2026-04-25 01:51,2026-04-25 02:14,2026-04-25 02:33,93,Pending,Blue Dart,,,561,87,474,14.86,1783
